,Incident Description,Record Classification
178,"Employee was installing some metal hanging file supports. The supports were new and banded together with plastic banding-type fasteners. The employee attempted to cut the plastic fastener with a personal pocket knife. When the knife cut through the fastener, it impacted the employee?s left hand, lacerating the skin between the thumb and index finger.  Employee was treated/evaluated at HRO Medical and advised to an outside medical facility for treatment.",Level2
179,Contractor was using a hammer to dismantle a scaffold and struck his right small finger. The incident resulted in a laceration that required medical treatment.,Level2
180,"Operator sustained a laceration requiring medical treatment while assisting maintenance technicians in the removal of a fly knife wheel from its chamber.  As the fly knife wheel was being removed from the chamber, the fly knife wheel unexpectedly fell from its protective covering and struck the operator in the calf.",Level2
181,"Employee parked his truck on the parking lot in order to report to the guardhouse. When stepping out of the cabin of his truck the driver stepped on the curbstone, lost his balance and fell. Whilst trying to break his fall, he injured his right arm/wrist. He was brought to the hospital for investigation. It was diagnosed as a dislocation (not a fracture) of the wrist and a cast was placed on the fore arm.",Level2
182,"Contractor was attempting to move a liquid argon cylinder by hand, and lost control of the cylinder.  The cylinder fell over, striking the contractor on the right foot behind the safety shoe?s toe cap, and resulting in a fracture of the metatarsal bone.  ",Level2
183,Contractor was involved in a motor vehicle crash while traveling from CVON to CVOS.  The crash resulted in a fractured (L) collar bone and restricted work duty.,Level2
184,"While employee was exiting the Poly BD Control Room door, he stepped down off the concrete step and felt a pain in the Lower hip. The injury required medical treatment. (changed to a Lost workday case)",Level2
185,"During the assembly of a scaffolding height 10 meters, the assembler on the last platform released a tube of scaffolding (length of 1m). 
In its fall the tube struck a metal wall then the head of an assembler on the level of the ground.",Level2
186,"Contractor was on ladder pulling wire through conduit with fish tape. Cable at end of wire bundle broke, causing contractor to fall from ladder, ~ 4.5 feet off the ground. As contractor fell, his foot struck another contractor holding ladder. The individual was transported off site for further medical evaluation, and required medical treatment. ",Level2
187,A contract employee sustained a laceration to the little toe on his left foot when an auxiliary block rolled off the deck of a Drott (carry deck) and struck the employee?s foot. Two employees were in the process of changing out the auxiliary block on the Drott and were pulling cable to allow slack so it could be removed. The block is cylinder shaped and rolled off the deck and fell to the ground.  ,Level2
188,"Employee was bolting a flange using a spanner when the key slipped. The 5th finger of his left hand got squeezed between the spanner and the flange. He finished his night shift regularly, and came back to work Friday July 4th (as per shift schedule). At the end of the day shift on Friday July 4th, due to the pain, he was send to the hospital for evaluation and treatment. A fracture was diagnosed. ",Level2
189,An employee was assisting with the collection of some equipment from an off-site location. The employee was essentially involved in a clerical role recording the items being collected. While assisting another employee with the collection of some lengths of steel pipe the employee?s 5th finger on the right hand was jammed causing an injury which required 2 stitches. Gloves were being worn. ,Level2
190,"An operator was helping a forklift driver to hang a full finished product bag in the hoist under the package line, there was 600 kg of finished products in the bag. The driver of forklift lowered the forks and tried to put the bag down on the package platform. The operator had not moved his hand from the hoist hook and his finger was caught between the belt of the bag and the hoist. The operator was taken to a hospital for treatment immediately. ",Level2
